iter	Logloss
0	0.6832501045
1	0.6753603037
2	0.6688018824
3	0.662012417
4	0.6531966298
5	0.6463555199
6	0.6404438816
7	0.6345932228
8	0.6296058564
9	0.6251534624
10	0.6210211009
11	0.6132648124
12	0.605617396
13	0.598941147
14	0.5932310574
15	0.5873843909
16	0.5805713431
17	0.577991582
18	0.5734263151
19	0.5686205245
20	0.5639513373
21	0.5619733508
22	0.5565390691
23	0.5512864536
24	0.5476001128
25	0.5426047283
26	0.5380026332
27	0.5344640141
28	0.5292979915
29	0.5263080679
30	0.5213816994
31	0.518075134
32	0.5133897341
33	0.5102841665
34	0.5072080491
35	0.5040844107
36	0.500784848
37	0.4968713615
38	0.4927648904
39	0.4895754423
40	0.484847033
41	0.481030832
42	0.4785901274
43	0.4760458043
44	0.4734578531
45	0.4715625247
46	0.4696547325
47	0.4662413827
48	0.4633491309
49	0.4622047708
50	0.4599633111
51	0.4570250943
52	0.4554364256
53	0.4536472442
54	0.4512051055
55	0.4482425351
56	0.4454050982
57	0.4422676348
58	0.4404173064
59	0.4388151558
60	0.4373873544
61	0.4361009358
62	0.4349988418
63	0.4331573941
64	0.4314181356
65	0.4304369525
66	0.4292236707
67	0.4273346048
68	0.4253366086
69	0.4236142176
70	0.4220087037
71	0.4202534876
72	0.418883342
73	0.4177025715
74	0.416619068
75	0.4142540175
76	0.4128984092
77	0.4124064869
78	0.4105615557
79	0.4090451624
80	0.4078442979
81	0.4060363251
82	0.4050283916
83	0.403763526
84	0.4031771589
85	0.4016345268
86	0.4008470519
87	0.3999798856
88	0.3993015818
89	0.3980645819
90	0.3962884304
91	0.394899359
92	0.3933425396
93	0.3923056826
94	0.3906495242
95	0.3898759848
96	0.3888257896
97	0.387240378
98	0.3865895709
99	0.3856225054
100	0.3847392805
101	0.3840298258
102	0.382950539
103	0.3822405951
104	0.380863746
105	0.3796762495
106	0.3785362636
107	0.3779035873
108	0.3769232433
109	0.3758787208
110	0.375108395
111	0.3734208933
112	0.3719257182
113	0.3709391565
114	0.3701185361
115	0.3693392986
116	0.3687227138
117	0.3676410479
118	0.3667471782
119	0.365617146
120	0.3645002983
121	0.3632682551
122	0.3624770552
123	0.3620410299
124	0.360212495
125	0.3595956347
126	0.3584379219
127	0.3576279951
128	0.3568878268
129	0.3563738378
130	0.3551681375
131	0.3546350502
132	0.3539615527
133	0.3532484607
134	0.3520272322
135	0.3513756884
136	0.3507182036
137	0.3498292684
138	0.3486981347
139	0.3479194761
140	0.3473622673
141	0.3470104641
142	0.3467130868
143	0.3462461285
144	0.345370862
145	0.3446149428
146	0.3439519445
147	0.3430726216
148	0.3423888353
149	0.3414644444
